1;Sheet;Zielgruppe;Thema;;Unipark Seiten;;Seite neues Layout;Nummer neues Layout;eigene Nummer;lfd Nummer;Trust 1 v1;;Zielgruppe2;Unipark;;INESkey;;Match;Scorecard;KI;Seite;Frage;Fragetyp;Skala min;Skala max;Wert1;Wert2;Wert3;Wert4;Wert5;;Code1Bemerkung;Codierung2;Codeierung3;Schluessel;;MGT;;;;;Vignette;;ScheetE;Unipark SeitenE;eigene NummerE;lfd NummerE;Trust 1 v1E;UniparkE;EE;FrageEnglisch;;Codierung1E;Codierung2E;Codierung3E;SchluesselE;VignE;MA;;;;;
2;Fragen Vertrauen Stand 30112022;Mitar0;Vertrauen;;Trust 1;;1;;1;1;v1;;MA;v_1;;0;;;P;L;;Haben Sie regelmäßige Kontakte zu anderen Mitarbeitenden im Unternehmen?;1;Nie;Sehr häufig;asdf1;asdf;sdaf;sadf;asdf;;;1.3;1.3.1;TNO_1;;;;;;;;;Fragen Vertrauen Stand 3011 eng;Trust 1;1;1;v1;v_1;;Do you have regular contacts to other people in the company?;;;1.3;1.3.1;TNO_1;;;;;;;
3;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;Trust 1;;1;1;1;1;v1;;MA;v_1;;10;;;;;;Haben Sie regelmäßige Kontakte zu anderen Mitarbeitenden im Unternehmen?;1;Nie;Sehr häufig;1;2;3;4;5;;;1.3;1.3.1;TNO_1;;;;;;;;;Fragen Vertrauen Stand 3011 eng;Trust 1;1;1;v1;v_1;;Do you have regular contacts to other people in the company?;;;1.3;1.3.1;TNO_1;;;;;;;
4;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;3;;1;2;2;2;v2;;MA;v_6;;20;;;;;;Kontaktieren Sie Ihre Kollegen/innen nur, wenn Sie ein spezielles Anliegen haben?;1;Sehr häufig;Selten;1;2;3;4;5;;;1.3;1.3.1;TNO_2;;;;;;;;;Fragen Vertrauen Stand 3011 eng;3;2;2;v2;v_6;;Do you contact your colleagues just in case they have a special issue?;;;1.3;1.3.1;TNO_2;;;;;;;
5;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;1;3;3;3;v3;;MA;v_7;;30;;;;;;Kontaktieren Sie Ihre Kollegen/innen oder Ihr Team auch, um einfach nur in Kontakt zu bleiben, ohne dass ein konkreter Anlass vorliegt?;1;Nie;Sehr häufig;1;2;3;4;5;;;1.3;1.3.1;TNO_3;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;3;3;v3;v_7;;Do you have contacts to your colleagues or team members just for staying in touch, without a specific issue? ;;;1.3;1.3.1;TNO_3;;;;;;;
6;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;1;4;4;4;v4;;MA;v_8;;40;;Match MM;;;;Wie intensiv ist die Zusammenarbeit zwischen den einzelnen Abteilungen oder Teams? ;1;Nur auf Anweisung;Selbstverständlich;1;2;3;4;5;;;1.3;1.3.1;TNO_4;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;4;4;v4;v_8;;How intense is the cooperation between departments or teams? ;;;1.3;1.3.1;TNO_4;;;;;;;
7;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;1;5;5;5;v5;;MA;v_9;;50;;Match MM;;;;Haben Sie die Möglichkeit an Meetings teilzunehmen, die Ihre Arbeit betreffen?;1;Nie;Sehr häufig;1;2;3;4;5;;;1.3;1.3.1;TNO_5;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;5;5;v5;v_9;;Is it possible for you to participate in meetings concerning your work? ;;;1.3;1.3.1;TNO_5;;;;;;;
8;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;Trust 2;;2;6;6;6;v6;;MA;v_13;;60;;;M;E;;Haben Sie das Gefühl, sozial akzeptiert zu sein?;1;Überhaupt nicht;Sehr stark;1;2;3;4;5;;;2.2;2.2.1.5;EOC_1;;;;;;;;;Fragen Vertrauen Stand 3011 eng;Trust 2;6;6;v6;v_13;;Do you have the feeling to be socially accepted? ;;;2.2;2.2.1.5;EOC_1;;;;;;;
9;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;4;;2;7;7;7;v7;;MA;v_14;;70;;Match MM;;;;Finden in Ihrem Unternehmen gemeinsame Aktionen statt – wie z.B. gemeinsames Abendessen, Ausflüge oder Veranstaltungen?;1;Überhaupt nicht;Sehr häufig;1;2;3;4;5;;;1.3;1.3.1;TNO_6;;;;;;;;;Fragen Vertrauen Stand 3011 eng;4;7;7;v7;v_14;;Do you have social events in your company - like company dinner, trips or events? ;;;1.3;1.3.1;TNO_6;;;;;;;
10;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;2;8;8;;v8;;MA;v_15;80;80;;Match MM;;;;Wie würden Sie die Zusammenarbeit der unterschiedlichen Beschäftigungsgruppen beschreiben?;;;;;;;;;;;;;;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;8;;v8;v_15;80;How would you describe the cooperation between different employee groups?;;;;;;;;;;;;
11;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;2;;8;8;v8;;MA;v_16;81;90;80;Match MM;;;;Die Zusammenarbeit…zwischen jüngeren und älteren Beschäftigten ist…;1;sehr schlecht;sehr gut;1;2;3;4;5;;;1.3;1.3.1;TNO_7;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;8;8;v8;v_16;81;The colaboration…between younger and older empolyees is…;;;1.3;1.3.1;TNO_7;;;;;;;
